Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
Timothée Godard-Fleury,1937-07-09,Masculin,"BORGOU,SINENDE,SIKKI,GORO-BANI carré 8701",timothéegodard-fleury@gmail.com,+22968669938,ouvrier paysagiste
Frédéric Hoareau-Lebrun,1977-08-03,Masculin,"OUEME,SEME-PODJI,AGBLANGANDAN,SEKANDJI HOUEYOGBE carré 5991",frédérichoareau-lebrun@gmail.com,+22995826466,ébéniste
David Leclercq,1999-09-27,Masculin,"PLATEAU,POBE,ISSABA,ATCHAGA carré 1394",davidleclercq@gmail.com,+22966157559,assistant dentaire
Constance Fouquet,1943-08-05,Masculin,"ALIBORI,KANDI,SAM,TANKONGOU carré 0163",constancefouquet@gmail.com,+22997525378,charpentier bois
Marcelle Lemaire,1983-10-09,Féminin,"ZOU,OUINHI,SAGON,HINVEDO carré 7425",marcellelemaire@gmail.com,+22997957237,technicien radioprotection
William Aubry,2000-03-24,Masculin,"COLLINES,SAVE,OFFE,GOBE carré 5029",williamaubry@gmail.com,+22961733003,ébéniste
Tristan Bousquet-Gros,1984-12-22,Masculin,"ATACORA,KEROU,KEROU,OUORE carré 1500",tristanbousquet-gros@gmail.com,+22998637956,psychomotricien
Adrien Regnier,1965-05-04,Masculin,"COLLINES,SAVALOU,SAVALOU-ATTAKE,LOGBO carré 6473",adrienregnier@gmail.com,+22968098617,conservateur territorial de bibliothèques
Thérèse Denis,1935-01-31,Masculin,"BORGOU,N'DALI,BORI,SONNOUMON-PEULH carré 9530",thérèsedenis@gmail.com,+22969241743,maquettiste
Honoré de la Prévost,1936-11-19,Masculin,"BORGOU,BEMBEREKE,INA,GOUA carré 2559",honorédelaprévost@gmail.com,+22965170445,médecin de secours en montagne
François-Benjamin Dupont,2001-08-24,Masculin,"COUFFO,DJAKOTOMEY,BETOUMEY,BOTA carré 1721",françois-benjamindupont@gmail.com,+22952929919,conducteur d'engins forestiers de récolte en entreprises de travaux forestiers
Richard Michel,1983-05-30,Masculin,"COUFFO,TOVIKLIN,TOVIKLIN,KPEVE carré 4686",richardmichel@gmail.com,+22997750458,responsable d'élevage agricole
Isaac Le Lenoir,1988-12-20,Masculin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,DONATEN carré 0244",isaaclelenoir@gmail.com,+22961149632,ingénieur de recherche clinique et épidémiologique
Constance Barbier,2005-08-27,Masculin,"COUFFO,KLOUEKANMEY,DJOTTO,DANGNONCHIHOUE carré 6141",,,
Marcel Barbe,1932-03-09,Féminin,"ALIBORI,BANIKOARA,SOMPEROUKOU,POTO carré 6441",marcelbarbe@gmail.com,+22968364991,hydraulicien
Christine Rossi,1956-06-04,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,AGORI carré 3788",christinerossi@gmail.com,+22995477362,technicien qualité
Auguste Camus,2014-01-27,Masculin,"COLLINES,SAVE,OKPARA,SANDEHOU carré 0476",,,
Maggie Klein,1941-12-18,Masculin,"BORGOU,KALALE,BOUCA,GBASSI carré 8357",maggieklein@gmail.com,+22998581902,technicien en optique de précision
Tristan Delahaye,1961-06-11,Féminin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-AGONGBOMEY carré 9598",tristandelahaye@gmail.com,+22954687359,libraire
Robert Marty,1958-08-18,Masculin,"ALIBORI,GOGOUNOU,BAGOU,YANKPANNOU carré 6186",robertmarty@gmail.com,+22967404657,nivoculteur
Jacques du Camus,2008-01-24,Masculin,"COLLINES,DASSA-ZOUME,DASSA II,MAHOU carré 1709",,,
Maggie Payet,1983-01-18,Masculin,"ZOU,ZAGNANADO,AGONLIN-HOUEGBO,AYOGO carré 0412",maggiepayet@gmail.com,+22956898969,orthophoniste
Lucy Le Goff,1985-02-18,Masculin,"COLLINES,GLAZOUE,GLAZOUE,OROKOTO carré 1181",lucylegoff@gmail.com,+22997978849,électricien installateur installatrice
Henriette Meunier,2012-10-05,Masculin,"OUEME,AVRANKOU,ATCHOUKPA,TANZOUN BLIGUEDE carré 2113",,,
Alfred Navarro,1982-07-19,Féminin,"ATLANTIQUE,ALLADA,AHOUANNONZOUN,BAWEKANMEY carré 3692",alfrednavarro@gmail.com,+22969443838,ingénieur forestier forestière
Corinne Dupuy,1974-06-03,Masculin,"PLATEAU,IFANGNI,DAAGBE,DAAGBE-DJEDJE carré 7050",corinnedupuy@gmail.com,+22956521904,biostatisticien
Adrien Maurice de la Blin,2000-01-06,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,HEVIE,ZOUNGO carré 7259",adrienmauricedelablin@gmail.com,+22961735737,vendeur en micro-informatique et multimédia
Roland Huet,1996-07-17,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,TITIROU carré 6813",rolandhuet@gmail.com,+22965350108,visiteur médical médicale
Édouard Laurent Le Pages,1935-07-29,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,HOUEKE-HONOU carré 7394",édouardlaurentlepages@gmail.com,+22994609480,éclairagiste
Geneviève Lopez de la Bonnet,1958-12-25,Masculin,"COLLINES,DASSA-ZOUME,LEMA,EROKOYA carré 8084",genevièvelopezdelabonnet@gmail.com,+22953921428,agent général générale d'assurances
Margaret Le Roux,1992-12-22,Masculin,"ALIBORI,MALANVILLE,MALANVILLE,WOLLO-CHATEAU carré 9008",margaretleroux@gmail.com,+22959453306,opérateur prépresse
Margaret du Maillet,2008-02-13,Masculin,"ATACORA,NATITINGOU,NATITINGOU I,DJINDJIRE-BERI carré 8870",,,
Émile-René Baudry,1974-11-19,Masculin,"OUEME,ADJARRA,MALANHOUI,TANME carré 0096",émile-renébaudry@gmail.com,+22966010926,traffic manager
Édouard Grondin du Fleury,1939-07-04,Masculin,"ALIBORI,KARIMAMA,MONSEY,BAKO-MAKA carré 3265",édouardgrondindufleury@gmail.com,+22965776480,"garde (chasse, pêche, littoral, rivière, parcs nationaux)"
Pierre De Oliveira-Prévost,1966-02-15,Masculin,"ATACORA,TOUKOUNTOUNA,KOUARFA,KOUBA carré 5223",pierredeoliveira-prévost@gmail.com,+22959410483,esthéticien-cosméticien
Margot Garnier,1940-07-30,Masculin,"COUFFO,LALO,LOKOGBA,LOKOGBA carré 4439",margotgarnier@gmail.com,+22965423525,agent artistique
Emmanuel Bonneau,1967-07-16,Féminin,"DONGA,DJOUGOU,BARIENOU,POTOKOU carré 2084",emmanuelbonneau@gmail.com,+22962070361,audioprothésiste
William Leroux,1984-04-17,Masculin,"ATLANTIQUE,ALLADA,SEKOU,MIGBEHOUE carré 4941",williamleroux@gmail.com,+22998421711,responsable de la promotion des ventes
Sébastien Millet,1936-01-07,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,VAKON-GBO carré 3500",sébastienmillet@gmail.com,+22999565838,souscripteur
Alphonse Gomes,1988-11-25,Masculin,"ATLANTIQUE,ZE,YOKPO,KOUDJANNADA-TOTA carré 3056",alphonsegomes@gmail.com,+22957839942,analyste de crédit
Sébastien Klein,2001-01-10,Masculin,"BORGOU,TCHAOUROU,TCHAOUROU,TCHAOUROU-GOBI-ALEDJI carré 5205",sébastienklein@gmail.com,+22994978835,astrophysicien
Martin Moreau,1952-08-04,Féminin,"ATLANTIQUE,SO-AVA,HOUEDO-AGUEKON,GBAGBODJI carré 1766",martinmoreau@gmail.com,+22965361428,ingénieur frigoriste
Clémence Dufour,2002-11-09,Masculin,"BORGOU,BEMBEREKE,BEMBEREKE,GAMARE carré 1030",clémencedufour@gmail.com,+22999665900,chargé d'affaires en génie climatique
Adèle Da Silva-Klein,1998-01-20,Masculin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,WANSIROU carré 4309",adèledasilva-klein@gmail.com,+22964039769,ingénieur technico-commercial technico-commerciale en informatique
Hélène Blanchard-Renault,1959-01-09,Masculin,"ATACORA,COBLY,COBLY,BAGAPODI carré 4266",hélèneblanchard-renault@gmail.com,+22999055157,technicien pétrolier pétrolière
Arnaude Mahe,2007-07-28,Féminin,"ALIBORI,GOGOUNOU,BAGOU,KALI carré 0523",,,
Laurent-Raymond Benard,1974-04-24,Masculin,"COUFFO,LALO,TOHOU,GOVETA carré 7927",laurent-raymondbenard@gmail.com,+22966960640,aide-chimiste
Jules Fernandes,1999-12-28,Masculin,"ZOU,ZA-KPOTA,KPAKPAME,DAVEGO carré 3832",julesfernandes@gmail.com,+22954587547,miroitier
Robert Clerc,2018-08-15,Masculin,"COUFFO,KLOUEKANMEY,TCHIKPE,AKOUEGBADJA carré 1755",,,
Georges Bertin,2014-04-11,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-CADA,HOUEDAGA carré 3671",,,
Marc Baudry,1932-11-16,Masculin,"OUEME,PORTO-NOVO,2EME ARRONDISSEMENT,KANDEVIE RADIO HOKON carré 2884",marcbaudry@gmail.com,+22965056753,horloger
Robert-Louis Gosselin,1996-03-12,Masculin,"BORGOU,TCHAOUROU,TCHATCHOU,TCHATCHOU carré 3165",robert-louisgosselin@gmail.com,+22961771408,maçon
Bernard Marques,1998-05-09,Masculin,"COLLINES,DASSA-ZOUME,DASSA I,AGBEGBE carré 9391",bernardmarques@gmail.com,+22999151131,administrateur territorial
Jérôme Andre,1963-06-25,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,SALAMEY carré 5118",jérômeandre@gmail.com,+22994948909,syndic de copropriété
Margaud Maillard,1970-07-16,Masculin,"ALIBORI,MALANVILLE,GUENE,ISSENE carré 2165",margaudmaillard@gmail.com,+22968131113,anatomiste
Marine Chevallier,1995-12-02,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,ZOGBADJE carré 4266",marinechevallier@gmail.com,+22995282081,greffier
Édith Lambert,1936-07-09,Masculin,"ALIBORI,BANIKOARA,BANIKOARA,OROU GNONROU carré 9835",édithlambert@gmail.com,+22956757083,consultant en conduite de changement
Astrid Couturier-Dufour,1961-09-18,Masculin,"ALIBORI,SEGBANA,LOUGOU,GANDOLOUKASSA carré 4969",astridcouturier-dufour@gmail.com,+22997532197,ingénieur logiciel
Victoire Poirier du Carlier,2011-09-27,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,HEVIE,ADOVIE carré 1278",,,
Éric Peltier,1956-09-04,Masculin,"ATLANTIQUE,ZE,DODJI-BATA,ADJAME carré 9876",éricpeltier@gmail.com,+22950352688,technicien en lignes haute tension
Éric Rousset de Leroux,1942-04-21,Masculin,"ZOU,ZOGBODOMEY,ZOGBODOMEY CENTRE,ZADO-ADAGON carré 3421",éricroussetdeleroux@gmail.com,+22965092872,conseiller espace info-énergie
Charles Reynaud,1968-03-26,Masculin,"MONO,GRAND-POPO,GBEHOUE,GBEHOUE OUATCHI carré 6701",charlesreynaud@gmail.com,+22997678560,inspecteur du permis de conduire et de la sécurité routière
Bertrand Pelletier-Delahaye,1970-10-10,Féminin,"ATACORA,TOUKOUNTOUNA,TOUKOUNTOUNA,KPENTIKOU carré 6920",bertrandpelletier-delahaye@gmail.com,+22954798060,agent de sûreté ferroviaire
Victor Gomez,1965-07-26,Masculin,"ZOU,ZAGNANADO,KPEDEKPO,AGONGBODJI carré 8537",victorgomez@gmail.com,+22999952311,styliste
Anouk de la Mathieu,1933-12-22,Féminin,"ATACORA,BOUKOUMBE,TABOTA,TABOTA carré 6337",anoukdelamathieu@gmail.com,+22964707485,chef de projet packaging
Margaud Mary,1986-06-21,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,MARIA-GLETA carré 0272",margaudmary@gmail.com,+22953283654,ébéniste
Geneviève Bertrand,1984-08-23,Masculin,"LITTORAL,COTONOU,10EME ARRONDISSEMENT,SETOVI carré 1234",genevièvebertrand@gmail.com,+22998855004,ingénieur en métrologie
Raymond-Yves Boulanger,1978-04-03,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GOLO-DJIGBE,AZONSA carré 0574",raymond-yvesboulanger@gmail.com,+22965342648,maçon
Chantal Renault,2020-12-03,Masculin,"MONO,ATHIEME,ATCHANNOU,GOUDON carré 3029",,,
David-Thibaut Bourdon,1975-10-21,Masculin,"OUEME,SEME-PODJI,DJEREGBE,DJEREGBE carré 2134",david-thibautbourdon@gmail.com,+22950986299,officier de la marine marchande
Laure Renard Le Munoz,2022-11-28,Masculin,"ATLANTIQUE,OUIDAH,OUIDAH IV,WOMEY carré 7783",,,
Claude Texier,1959-11-14,Masculin,"OUEME,PORTO-NOVO,2EME ARRONDISSEMENT,DJEGAN DAHO carré 2063",claudetexier@gmail.com,+22990067304,vitrailliste
Bertrand Camus de Humbert,2016-01-09,Masculin,"COUFFO,KLOUEKANMEY,DJOTTO,YENAWA carré 3975",,,
Nicolas Besnard,2021-09-06,Masculin,"COLLINES,SAVE,PLATEAU,DAKPA carré 3113",,,
Sabine Pineau,1973-11-04,Féminin,"MONO,GRAND-POPO,AGOUE,NICOUE CONDJI carré 1746",sabinepineau@gmail.com,+22950549276,concepteur de jeux vidéo
Adrien Laroche,1953-03-06,Féminin,"LITTORAL,COTONOU,2EME ARRONDISSEMENT,YENAWA carré 5362",adrienlaroche@gmail.com,+22969040517,consultant green IT
Adrien Bouvier,2007-03-04,Masculin,"ALIBORI,KARIMAMA,BOGO-BOGO,TORIOH carré 9880",,,
Marine Renard,1989-08-14,Masculin,"COLLINES,SAVE,ADIDO,KINGOUN carré 1262",marinerenard@gmail.com,+22999612540,enseignant de la conduite automobile et de la sécurité routière
Gérard Blot de Blanc,1995-03-27,Masculin,"DONGA,COPARGO,SINGRE,NIMOUROU carré 1714",gérardblotdeblanc@gmail.com,+22965111349,ingénieur environnement
Lucy Lamy,1949-07-14,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,VAKON-ANAGO carré 9436",lucylamy@gmail.com,+22998518300,charcutier-traiteur
Louise Guyot,1983-10-09,Masculin,"BORGOU,NIKKI,SUYA,GANCHON carré 8266",louiseguyot@gmail.com,+22964396092,ingénieur qualité moteur
Théophile Poulain,1936-07-23,Masculin,"COUFFO,DJAKOTOMEY,HOUEGAMEY,KPELADJAMEY carré 9490",théophilepoulain@gmail.com,+22956351940,cadreur
Dorothée Le Fleury,1961-11-23,Masculin,"OUEME,SEME-PODJI,TOHOUE,GLOGBO carré 2561",dorothéelefleury@gmail.com,+22964280442,ajusteur-monteur
Sylvie Dupré,1941-12-08,Masculin,"ATLANTIQUE,ZE,KOUNDOKPOE,AÏFA carré 3557",sylviedupré@gmail.com,+22965786524,géologue minier
Matthieu Cousin,1940-08-08,Masculin,"OUEME,SEME-PODJI,EKPE,DJEFFA HOUEDOME carré 9367",matthieucousin@gmail.com,+22965726018,responsable des ouvrages hydroélectriques
Dominique Nicolas,1946-08-25,Masculin,"OUEME,AVRANKOU,OUANHO,TCHAKLA carré 8000",dominiquenicolas@gmail.com,+22999495657,entraîneur de chevaux
Jérôme Lacroix,1986-08-09,Masculin,"MONO,GRAND-POPO,ADJAHA,ADJAHA carré 4353",jérômelacroix@gmail.com,+22998186241,pédiatre
Joseph Martineau,1972-11-01,Féminin,"ATACORA,MATERI,TCHANHOUNCOSSI,TCHANHOUNCOSSI carré 0430",josephmartineau@gmail.com,+22964178734,poissonnier
Roger Mary,1948-10-01,Masculin,"LITTORAL,COTONOU,10EME ARRONDISSEMENT,VEDOKO carré 7999",rogermary@gmail.com,+22964461686,mixeur son
Vincent de Neveu,1959-04-23,Féminin,"OUEME,SEME-PODJI,EKPE,EKPE GBEDJAME carré 5999",vincentdeneveu@gmail.com,+22964337987,attaché territorial territoriale
Guy Robert,1969-05-12,Masculin,"ZOU,ZA-KPOTA,ZA-KPOTA,DOKPA carré 5757",guyrobert@gmail.com,+22968833890,orthoptiste
Stéphane Boucher,1946-11-07,Masculin,"BORGOU,TCHAOUROU,ALAFIAROU,ALAFIAROU carré 9018",stéphaneboucher@gmail.com,+22999574930,testeur
Bernard Voisin Le Baron,1930-06-05,Masculin,"ALIBORI,KARIMAMA,MONSEY,GOUMBITCHIGOURA carré 9365",bernardvoisinlebaron@gmail.com,+22959268043,ouvrier agricole
Valérie Barbier,2015-01-09,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,KPANROUN,AVAGBE carré 2670",,,
Marcel Le Lefort,2011-10-29,Masculin,"PLATEAU,KETOU,ADAKPLAME,GBAKA-NANZE carré 7528",,,
Arthur Hoarau,1939-09-18,Féminin,"ZOU,AGBANGNIZOUN,SAHE,FONLI carré 7798",arthurhoarau@gmail.com,+22953100464,conservateur du patrimoine
Gérard Ferrand,2022-11-25,Masculin,"DONGA,OUAKE,SEMERE 2,ITCHELLI carré 4434",,,
Denise Allard,2007-03-12,Masculin,"ATLANTIQUE,OUIDAH,PAHOU,ZOUNGOUDO carré 5363",,,
Bertrand Blondel,1967-12-03,Masculin,"DONGA,BASSILA,PENESSOULOU,TABA carré 2267",bertrandblondel@gmail.com,+22967784624,agent hydrothermal hydrothermale
Colette Rousset,1941-09-22,Masculin,"ZOU,BOHICON,BOHICON II,SILIHO carré 3178",coletterousset@gmail.com,+22967496874,ingénieur maintenance aéronautique
Luce Gomez Le Gomez,1989-09-30,Masculin,"COUFFO,KLOUEKANMEY,ADJAHONME,TOIME carré 6805",lucegomezlegomez@gmail.com,+22953862469,ingénieur opticien opticienne
Xavier-Bertrand Lacombe,1951-01-13,Féminin,"ATACORA,KEROU,KEROU,PIKIRE carré 0858",xavier-bertrandlacombe@gmail.com,+22954017048,secrétaire juridique
Honoré Ledoux,1995-09-17,Masculin,"ATACORA,KEROU,FIROU,GORI carré 4298",honoréledoux@gmail.com,+22999534076,opérateur de fabrication de produits alimentaires
Noël Ferreira,1941-12-21,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,AKASSATO,AKASSATO CENTRE carré 3456",noëlferreira@gmail.com,+22969836119,directeur de golf
Jules du Gosselin,2009-09-02,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,OUEDO,AHOUATO carré 9179",,,
Margaret du Faure,1973-10-12,Féminin,"OUEME,ADJOHOUN,AKPADANOU,KPATINSA carré 8179",margaretdufaure@gmail.com,+22964070924,oenologue
Lucie Aubert,1990-11-14,Masculin,"BORGOU,TCHAOUROU,ALAFIAROU,AGRAMAROU carré 6918",lucieaubert@gmail.com,+22959294831,géologue minier
Édith Lagarde-Aubert,2001-11-06,Masculin,"PLATEAU,POBE,TOWE,IGBO-OCHO carré 7379",édithlagarde-aubert@gmail.com,+22953960999,chargé de veille législative et réglementaire
Sabine Vincent,1959-01-14,Masculin,"COLLINES,GLAZOUE,AKLAMPA,AFFIZOUNGO carré 1566",sabinevincent@gmail.com,+22967189707,ingénieur en automatismes
Stéphanie Morvan-Jean,1948-08-22,Masculin,"ATLANTIQUE,SO-AVA,DEKANMEY,SAKOMEY carré 2316",stéphaniemorvan-jean@gmail.com,+22999909743,paléontologue
Benoît Guyot,1972-01-20,Masculin,"ATACORA,NATITINGOU,PERMA,PAM-PAM carré 8648",benoîtguyot@gmail.com,+22961503342,écrivain
Jean Vincent-Chevallier,1939-01-24,Masculin,"ATLANTIQUE,OUIDAH,PAHOU,SELLOLI-BAZOUNKPA carré 1305",jeanvincent-chevallier@gmail.com,+22951081479,écrivain
Denis Cordier,1975-07-29,Masculin,"ZOU,ABOMEY,VIDOLE,AHOUAGA carré 1003",deniscordier@gmail.com,+22950409456,technicien d'exploitation de l'eau
Isaac Didier,1958-06-07,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,OUANDO carré 5688",isaacdidier@gmail.com,+22969441781,technicien packaging
Xavier Pasquier,1968-04-30,Masculin,"ZOU,ZAGNANADO,AGONLIN-HOUEGBO,ZOUNGO-WOKPA carré 8875",xavierpasquier@gmail.com,+22968134074,inspecteur de banque
Aimé Bernier,1963-05-06,Masculin,"MONO,ATHIEME,ATCHANNOU,ATCHANNOU carré 2315",aimébernier@gmail.com,+22999166930,infirmier
Denise Masson,1937-03-08,Masculin,"ZOU,BOHICON,BOHICON II,AGONVEZOUN carré 5339",denisemasson@gmail.com,+22999535309,tailleur de pierre
Élisabeth du Leconte,2015-10-16,Féminin,"LITTORAL,COTONOU,1ER ARRONDISSEMENT,AVOTROU AIMONLONFIDE carré 9190",,,
Astrid Lecoq,1949-11-13,Masculin,"ATLANTIQUE,KPOMASSE,KPOMASSE CENTRE,GBEDJEWIN ADJIBAMEY carré 9162",astridlecoq@gmail.com,+22968644905,ingénieur production dans les biotechnologies
Marcelle-Valentine Guibert,1967-03-04,Masculin,"ATACORA,MATERI,MATERI,YONDISSERI carré 0299",marcelle-valentineguibert@gmail.com,+22964736088,maquilleur artistique
Henriette-Nath Bonnet,1987-01-22,Masculin,"BORGOU,KALALE,BOUCA,BOUCA carré 2315",henriette-nathbonnet@gmail.com,+22954014695,ingénieur logiciel
Richard Blot,1950-08-14,Masculin,"DONGA,DJOUGOU,DJOUGOU III,BATOULOU carré 2394",richardblot@gmail.com,+22956062173,directeur de magasin à grande surface
André Gérard,2000-05-24,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,AHOUANSORI AGATA carré 7618",andrégérard@gmail.com,+22964291689,ingénieur textile
Timothée-Michel Joubert,1937-03-07,Masculin,"ZOU,ABOMEY,HOUNLI,ZASSA carré 0425",timothée-micheljoubert@gmail.com,+22999952085,architecte des systèmes d'information
Nicolas de la Raynaud,1941-01-08,Masculin,"BORGOU,KALALE,KALALE,KALALE carré 7354",nicolasdelaraynaud@gmail.com,+22995291829,cordonnier
Thibaut-Théophile Alves,1964-08-26,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GOLO-DJIGBE,YEKON-AGA carré 5477",thibaut-théophilealves@gmail.com,+22965500450,ingénieur production en aéronautique
René de la Delaunay,1984-08-04,Masculin,"ATLANTIQUE,TORI-BOSSITO,TORI-GARE,AGAZOUN carré 3059",renédeladelaunay@gmail.com,+22996285985,directeur des services pénitentiaires
Antoinette Nguyen,1946-09-25,Masculin,"ZOU,ZAGNANADO,BANAME,GBONOU carré 0721",antoinettenguyen@gmail.com,+22959172999,adjoint administratif administrative
Roger-Roger Delmas,1947-12-13,Masculin,"MONO,BOPA,LOBOGO,HOUNGOH carré 2812",roger-rogerdelmas@gmail.com,+22956786868,analyste financier
David-Antoine Cohen,1949-06-20,Masculin,"DONGA,BASSILA,ALEDJO,ALEDJO carré 7646",david-antoinecohen@gmail.com,+22998239139,consultant en systèmes d'information
Patrick Bailly,1984-11-08,Masculin,"PLATEAU,POBE,IGANA,EGUELOU carré 9501",patrickbailly@gmail.com,+22968873855,technicien radioprotection
Louis du Boyer,1931-07-08,Masculin,"MONO,HOUEYOGBE,ZOUNGBONOU,HOUINGAH-SALAHOUE carré 8300",louisduboyer@gmail.com,+22996941931,plâtrier
Jules-Marc Chauvet,1940-05-18,Masculin,"ZOU,DJIDJA,MONSOUROU,YAGBANOUGON carré 4550",jules-marcchauvet@gmail.com,+22999639499,médiateur scientifique
Anaïs-Laure Gomez,2016-09-04,Masculin,"ATLANTIQUE,ALLADA,AHOUANNONZOUN,AHITO carré 5421",,,
Christelle-Suzanne Chrétien,2003-02-22,Masculin,"BORGOU,KALALE,KALALE,NASSICONZI carré 2842",christelle-suzannechrétien@gmail.com,+22966520150,ouvrier plasturgiste
Anne Jacques,1996-08-28,Masculin,"ZOU,COVE,HOUIN-HOUNSO,DAHOUE carré 1435",annejacques@gmail.com,+22962773293,inspecteur du permis de conduire et de la sécurité routière
Françoise Morin,2000-05-17,Masculin,"ZOU,BOHICON,SODOHOME,EDJEGBINMEGON carré 7105",françoisemorin@gmail.com,+22964669549,technicien de maintenance en génie climatique
Xavier du Renault,1979-05-25,Masculin,"COUFFO,APLAHOUE,AZOVE,GBOFOLY carré 3951",xavierdurenault@gmail.com,+22999870105,concepteur designer packaging
Henri Joly,1993-08-31,Masculin,"ZOU,ABOMEY,DJEGBE,DJIME carré 4592",henrijoly@gmail.com,+22995204378,gardien de police municipale
Astrid Aubert-Thierry,1957-01-20,Masculin,"BORGOU,N'DALI,N'DALI,SUANIN carré 4789",astridaubert-thierry@gmail.com,+22996773366,maroquinier
Hélène Le Chauvin,1971-08-12,Masculin,"ZOU,ABOMEY,HOUNLI,AZALI carré 9597",hélènelechauvin@gmail.com,+22998186363,tonnelier
Margaux Rey Le Lebrun,1974-08-06,Masculin,"COLLINES,BANTE,AGOUA,N'TCHON carré 4453",margauxreylelebrun@gmail.com,+22959668404,spécialiste des affaires réglementaires en chimie
Vincent Thierry-Foucher,1966-06-13,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,BAPARAPE carré 8318",vincentthierry-foucher@gmail.com,+22964765123,agent de propreté urbaine
Antoinette de Dupuis,1963-01-30,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,DEKOUNGBE carré 0030",antoinettededupuis@gmail.com,+22962925818,technicien forestier forestière
Vincent Joubert,2001-05-10,Masculin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,FIDJROSSE KPOTA carré 5673",vincentjoubert@gmail.com,+22999384548,horticulteur
Auguste Blanchard,1985-08-21,Masculin,"DONGA,DJOUGOU,BAREI,KOURLI carré 6224",augusteblanchard@gmail.com,+22991999230,ingénieur de maintenance industrielle
Laurence Gilbert,1997-07-13,Masculin,"ATLANTIQUE,ZE,SEDJE-HOUEGOUDO,AKPOMEY carré 1550",laurencegilbert@gmail.com,+22952437683,expert bilan carbone
Jacques Le Marion,1973-03-19,Masculin,"OUEME,ADJARRA,MEDEDJONOU,TCHAKOU carré 7744",jacqueslemarion@gmail.com,+22999616270,économe de flux
Xavier Brun,1982-11-09,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AGLA-AGONGBOMEY carré 0759",xavierbrun@gmail.com,+22969575972,accessoiriste
Sabine Perrier,1954-09-30,Masculin,"DONGA,DJOUGOU,PARTAGO,TEPREDJISSI carré 4030",sabineperrier@gmail.com,+22995982017,designer graphique
Valentine Jacquot,2016-09-05,Masculin,"PLATEAU,SAKETE,YOKO,YOKO CENTRE carré 3698",,,
Matthieu Marty,2019-01-01,Masculin,"BORGOU,SINENDE,SINENDE,DIADIA carré 3079",,,
Robert Henry-Poulain,1996-06-14,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,AGAMANDIN carré 7645",roberthenry-poulain@gmail.com,+22969719153,agent général générale d'assurances
Paul Perez,1969-06-22,Masculin,"MONO,GRAND-POPO,AGOUE,MISSIHOUN CONDJI carré 8071",paulperez@gmail.com,+22961905627,ingénieur en énergie solaire
Christophe Techer-Laurent,2014-03-16,Masculin,"COLLINES,BANTE,BOBE,ASSABA carré 3661",,,
Nath Gimenez-Le Goff,2021-03-16,Masculin,"DONGA,BASSILA,BASSILA,AORO-LOKPA carré 2118",,,
Denis Grégoire,1993-08-26,Féminin,"COUFFO,DOGBO,TOTA,DEKANDJI carré 7490",denisgrégoire@gmail.com,+22968050897,conseiller principal d'éducation principale d'éducation
Antoinette Leconte,1956-01-31,Féminin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,ZONGO carré 2756",antoinetteleconte@gmail.com,+22994181881,professeur de lycée professionnel
Eugène Le Charpentier,1948-12-10,Masculin,"BORGOU,NIKKI,NIKKI,KPAWOLOU carré 8671",eugènelecharpentier@gmail.com,+22964034586,gouvernant
Philippe Chauveau,1974-10-06,Féminin,"OUEME,PORTO-NOVO,3EME ARRONDISSEMENT,OGANLA NORD carré 4908",philippechauveau@gmail.com,+22953611782,décolleteur
Diane Fernandez,1952-12-31,Masculin,"PLATEAU,KETOU,KETOU,MASSAFE carré 3669",dianefernandez@gmail.com,+22994704106,conducteur de machine onduleuse
